0.005000	1.000000
0.010000	0.990102
0.015000	0.979935
0.020000	0.970295
0.025000	0.959955
0.030000	0.949483
0.035000	0.939082
0.040000	0.929188
0.045000	0.917873
0.050000	0.906947
0.055000	0.895515
0.060000	0.883719
0.065000	0.871581
0.070000	0.858462
0.075000	0.845225
0.080000	0.830500
0.085000	0.814001
0.090000	0.795855
0.095000	0.774093
0.100000	0.747737
0.100500	0.703094
0.101000	0.705600
0.101500	0.700814
0.102000	0.696628
0.102500	0.688818
0.103000	0.684022
0.103500	0.678016
0.104000	0.674618
0.104500	0.666299
0.105000	0.658273
0.105500	0.647650
0.106000	0.637336
0.106500	0.625869
0.107000	0.617740
0.107500	0.592428
0.108000	0.592911
0.108500	0.574804
0.109000	0.552871
0.109500	0.539976
0.110000	0.513453
0.110500	0.500718
0.111000	0.473060
0.111500	0.439120
0.112000	0.404954
0.112500	0.388069
0.113000	0.363629
0.113500	0.333808
0.114000	0.334259
0.114500	0.313562
0.115000	0.305518
0.115500	0.272152
0.116000	0.251609
0.116500	0.236265
0.117000	0.213270
0.117500	0.218248
0.118000	0.208140
0.118500	0.194764
0.119000	0.187165
0.119500	0.177445
0.120000	0.180179
0.125000	0.161218
0.130000	0.121274
0.135000	0.097755
0.140000	0.077942
0.145000	0.074447
0.150000	0.062878
0.155000	0.058454
0.160000	0.052827
0.165000	0.048586
0.170000	0.044219
0.175000	0.045947
0.180000	0.041188
0.185000	0.039384
0.190000	0.038449
0.195000	0.034975
0.200000	0.035537
0.205000	0.032594
0.210000	0.030774
0.215000	0.030811
0.220000	0.029746
0.225000	0.028513
0.230000	0.028387
0.235000	0.026664
0.240000	0.026175
0.245000	0.026364
