#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.990000	    0.020765	    0.666660
  2	    0.010000	    0.979976	    0.040180	    0.666653
  3	    0.015000	    0.969872	    0.060361	    0.666646
  4	    0.020000	    0.959712	    0.082591	    0.666637
  5	    0.025000	    0.949570	    0.100648	    0.666630
  6	    0.030000	    0.939119	    0.124185	    0.666621
  7	    0.035000	    0.928954	    0.145438	    0.666612
  8	    0.040000	    0.918101	    0.176998	    0.666598
  9	    0.045000	    0.907057	    0.192683	    0.666591
 10	    0.050000	    0.895940	    0.236708	    0.666571
 11	    0.055000	    0.883956	    0.278333	    0.666551
 12	    0.060000	    0.872065	    0.315259	    0.666532
 13	    0.065000	    0.859009	    0.364967	    0.666506
 14	    0.070000	    0.845254	    0.447914	    0.666463
 15	    0.075000	    0.830496	    0.528405	    0.666418
 16	    0.080000	    0.814028	    0.659570	    0.666344
 17	    0.085000	    0.795386	    0.969202	    0.666173
 18	    0.090000	    0.773998	    1.357181	    0.665939
 19	    0.095000	    0.746501	    2.241453	    0.665393
 20	    0.100000	    0.708857	    4.899752	    0.663714
 21	    0.100500	    0.705145	    4.924981	    0.663610
 22	    0.101000	    0.700689	    5.556187	    0.663223
 23	    0.101500	    0.696924	    5.824083	    0.663039
 24	    0.102000	    0.687634	    7.741959	    0.661871
 25	    0.102500	    0.685507	    6.691503	    0.662357
 26	    0.103000	    0.679956	    7.821503	    0.661696
 27	    0.103500	    0.666311	   13.826504	    0.658177
 28	    0.104000	    0.664402	   12.887981	    0.658735
 29	    0.104500	    0.653127	   14.807704	    0.657221
 30	    0.105000	    0.650595	   13.845433	    0.657450
 31	    0.105500	    0.638255	   18.097523	    0.654758
 32	    0.106000	    0.629580	   22.081071	    0.652471
 33	    0.106500	    0.621074	   24.200142	    0.650995
 34	    0.107000	    0.585426	   61.587262	    0.634244
 35	    0.107500	    0.605933	   27.383581	    0.648840
 36	    0.108000	    0.578411	   54.553137	    0.635002
 37	    0.108500	    0.558369	   58.506069	    0.628061
 38	    0.109000	    0.512475	   77.444992	    0.606044
 39	    0.109500	    0.502458	  100.278273	    0.594190
 40	    0.110000	    0.445520	  130.335381	    0.553036
 41	    0.110500	    0.475682	   88.659741	    0.590631
 42	    0.111000	    0.446534	  106.462337	    0.561456
 43	    0.111500	    0.410608	  117.137830	    0.534320
 44	    0.112000	    0.377504	  124.534694	    0.500202
 45	    0.112500	    0.351678	  128.477605	    0.466022
 46	    0.113000	    0.346479	  136.470253	    0.456031
 47	    0.113500	    0.321502	  113.931763	    0.445572
 48	    0.114000	    0.320464	  116.129723	    0.442993
 49	    0.114500	    0.290879	  111.363470	    0.400868
 50	    0.115000	    0.266244	  102.383484	    0.355142
 51	    0.115500	    0.236317	   97.709037	    0.277358
 52	    0.116000	    0.243009	   90.923469	    0.317467
 53	    0.116500	    0.232781	   86.154911	    0.302968
 54	    0.117000	    0.211759	   80.522923	    0.254138
 55	    0.117500	    0.220867	   83.858817	    0.273046
 56	    0.118000	    0.205755	   68.784563	    0.294894
 57	    0.118500	    0.199098	   71.989205	    0.261705
 58	    0.119000	    0.169552	   57.979195	    0.167125
 59	    0.119500	    0.176389	   57.193954	    0.221020
 60	    0.120000	    0.164576	   54.792923	    0.161629
 61	    0.125000	    0.117296	   32.442447	    0.027855
 62	    0.130000	    0.096156	   20.860301	    0.053386
 63	    0.135000	    0.082481	   15.420080	    0.045066
 64	    0.140000	    0.069666	   11.200041	    0.004131
 65	    0.145000	    0.064222	    9.337126	    0.051104
 66	    0.150000	    0.057326	    7.798451	    0.017470
 67	    0.155000	    0.051913	    6.337620	   -0.011081
 68	    0.160000	    0.049423	    5.800468	    0.003898
 69	    0.165000	    0.046585	    5.141324	   -0.027446
 70	    0.170000	    0.044015	    4.396777	    0.039716
 71	    0.175000	    0.041112	    3.880357	    0.021348
 72	    0.180000	    0.039025	    3.542643	    0.017086
 73	    0.185000	    0.036964	    3.341162	   -0.034550
 74	    0.190000	    0.035047	    2.834896	   -0.022584
 75	    0.195000	    0.034369	    2.688501	    0.006846
 76	    0.200000	    0.033475	    2.610154	    0.002053
 77	    0.205000	    0.032208	    2.388090	    0.010185
 78	    0.210000	    0.030511	    2.213065	   -0.003695
 79	    0.215000	    0.029625	    2.057962	    0.010022
 80	    0.220000	    0.028432	    1.910673	   -0.019240
 81	    0.225000	    0.027828	    1.862927	   -0.049712
 82	    0.230000	    0.027346	    1.701748	    0.015220
 83	    0.235000	    0.026986	    1.706051	    0.014100
 84	    0.240000	    0.025844	    1.520175	    0.024390
 85	    0.245000	    0.025449	    1.527807	    0.000991
