#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.989961	    0.019960	    0.666665
  2	    0.010000	    0.979997	    0.038404	    0.666663
  3	    0.015000	    0.969877	    0.062596	    0.666661
  4	    0.020000	    0.959772	    0.079308	    0.666660
  5	    0.025000	    0.949517	    0.100980	    0.666658
  6	    0.030000	    0.939179	    0.126492	    0.666655
  7	    0.035000	    0.928769	    0.145321	    0.666653
  8	    0.040000	    0.917901	    0.172897	    0.666650
  9	    0.045000	    0.907049	    0.205148	    0.666646
 10	    0.050000	    0.895677	    0.230297	    0.666643
 11	    0.055000	    0.883900	    0.258508	    0.666640
 12	    0.060000	    0.871786	    0.316105	    0.666633
 13	    0.065000	    0.858966	    0.372823	    0.666626
 14	    0.070000	    0.845191	    0.443238	    0.666616
 15	    0.075000	    0.830332	    0.554013	    0.666601
 16	    0.080000	    0.813975	    0.692856	    0.666582
 17	    0.085000	    0.795691	    0.946917	    0.666545
 18	    0.090000	    0.773609	    1.378705	    0.666480
 19	    0.095000	    0.746054	    2.187515	    0.666349
 20	    0.100000	    0.706275	    6.052776	    0.665707
 21	    0.100500	    0.703457	    5.017158	    0.665853
 22	    0.101000	    0.698899	    5.651965	    0.665739
 23	    0.101500	    0.693516	    7.610536	    0.665436
 24	    0.102000	    0.687845	    7.039517	    0.665483
 25	    0.102500	    0.683611	    8.302893	    0.665271
 26	    0.103000	    0.675588	   10.057066	    0.664931
 27	    0.103500	    0.670625	   10.717036	    0.664799
 28	    0.104000	    0.661822	   13.322495	    0.664313
 29	    0.104500	    0.655397	   17.190811	    0.663699
 30	    0.105000	    0.643375	   21.796961	    0.662733
 31	    0.105500	    0.639080	   17.411726	    0.663389
 32	    0.106000	    0.630257	   20.949476	    0.662612
 33	    0.106500	    0.611060	   33.139647	    0.660111
 34	    0.107000	    0.580210	   87.858354	    0.650074
 35	    0.107500	    0.588050	   49.606510	    0.656413
 36	    0.108000	    0.541606	  161.299768	    0.637445
 37	    0.108500	    0.542498	  127.960584	    0.643182
 38	    0.109000	    0.511644	  190.656369	    0.630911
 39	    0.109500	    0.480193	  215.775208	    0.614960
 40	    0.110000	    0.434307	  244.697168	    0.594697
 41	    0.110500	    0.367495	  397.931792	    0.521441
 42	    0.111000	    0.322598	  386.679890	    0.477380
 43	    0.111500	    0.307451	  335.719295	    0.482917
 44	    0.112000	    0.263490	  331.599139	    0.414221
 45	    0.112500	    0.209813	  284.482976	    0.314479
 46	    0.113000	    0.214001	  335.754005	    0.287846
 47	    0.113500	    0.165129	  191.455788	    0.235967
 48	    0.114000	    0.158125	  202.862049	    0.177950
 49	    0.114500	    0.142148	  171.246033	    0.144377
 50	    0.115000	    0.146434	  168.305499	    0.183166
 51	    0.115500	    0.125096	  136.669703	    0.085962
 52	    0.116000	    0.111701	  102.655379	    0.150332
 53	    0.116500	    0.110041	   98.293564	    0.144656
 54	    0.117000	    0.102777	   89.667663	    0.127680
 55	    0.117500	    0.101372	   88.462107	    0.106275
 56	    0.118000	    0.093228	   77.986932	    0.088593
 57	    0.118500	    0.098627	   82.458043	    0.083359
 58	    0.119000	    0.087323	   68.452231	    0.028734
 59	    0.119500	    0.083946	   62.080777	    0.082125
 60	    0.120000	    0.080233	   55.727612	    0.109742
 61	    0.125000	    0.063338	   34.588799	    0.098941
 62	    0.130000	    0.047467	   20.663831	    0.010042
 63	    0.135000	    0.041419	   16.089738	    0.012433
 64	    0.140000	    0.036296	   11.950939	    0.040300
 65	    0.145000	    0.031951	    9.791488	   -0.028276
 66	    0.150000	    0.028358	    7.753160	   -0.024436
 67	    0.155000	    0.026595	    6.430793	    0.021164
 68	    0.160000	    0.024797	    5.525899	    0.032120
 69	    0.165000	    0.022822	    4.893638	   -0.019320
 70	    0.170000	    0.021284	    4.317754	   -0.037779
 71	    0.175000	    0.020816	    3.892084	    0.052691
 72	    0.180000	    0.019413	    3.631740	   -0.044869
 73	    0.185000	    0.018872	    3.181076	    0.012743
 74	    0.190000	    0.017576	    3.020770	    0.010044
 75	    0.195000	    0.016984	    2.596986	    0.054853
 76	    0.200000	    0.016483	    2.489259	    0.021931
 77	    0.205000	    0.015809	    2.282852	    0.041499
 78	    0.210000	    0.015213	    2.208819	   -0.055430
 79	    0.215000	    0.014899	    2.111319	   -0.033630
 80	    0.220000	    0.014459	    1.920236	    0.000659
 81	    0.225000	    0.013867	    1.804871	    0.010159
 82	    0.230000	    0.013685	    1.782728	   -0.016905
 83	    0.235000	    0.013284	    1.654250	   -0.017424
 84	    0.240000	    0.013029	    1.549680	    0.001238
 85	    0.245000	    0.012658	    1.470212	    0.022113
