#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
32537	    0.000000	    1.000000	    0.000000	    0.666667
32538	    0.005000	    0.990013	    0.019920	    0.666658
32539	    0.010000	    0.979955	    0.039603	    0.666649
32540	    0.015000	    0.969976	    0.060931	    0.666639
32541	    0.020000	    0.959692	    0.082356	    0.666629
32542	    0.025000	    0.949580	    0.101097	    0.666619
32543	    0.030000	    0.939322	    0.124175	    0.666607
32544	    0.035000	    0.928719	    0.147034	    0.666594
32545	    0.040000	    0.918024	    0.168705	    0.666582
32546	    0.045000	    0.907019	    0.199524	    0.666564
32547	    0.050000	    0.895774	    0.231296	    0.666544
32548	    0.055000	    0.883830	    0.267786	    0.666521
32549	    0.060000	    0.871793	    0.313241	    0.666492
32550	    0.065000	    0.858956	    0.368449	    0.666455
32551	    0.070000	    0.845457	    0.443776	    0.666404
32552	    0.075000	    0.830037	    0.551904	    0.666328
32553	    0.080000	    0.814139	    0.698359	    0.666222
32554	    0.085000	    0.795797	    0.929103	    0.666050
32555	    0.090000	    0.773988	    1.336427	    0.665735
32556	    0.095000	    0.746816	    2.200999	    0.665043
32557	    0.100000	    0.710115	    4.542073	    0.663127
32558	    0.100500	    0.705356	    4.924806	    0.662808
32559	    0.101000	    0.701008	    5.552469	    0.662334
32560	    0.101500	    0.697237	    5.455929	    0.662287
32561	    0.102000	    0.691291	    6.243363	    0.661672
32562	    0.102500	    0.672965	   11.880798	    0.657890
32563	    0.103000	    0.679014	    8.676553	    0.659828
32564	    0.103500	    0.671614	   10.205709	    0.658751
32565	    0.104000	    0.667881	   10.046991	    0.658538
32566	    0.104500	    0.656517	   13.463059	    0.655957
32567	    0.105000	    0.641942	   20.256689	    0.651846
32568	    0.105500	    0.629592	   27.197741	    0.648303
32569	    0.106000	    0.630772	   20.450175	    0.650408
32570	    0.106500	    0.620184	   25.984311	    0.647195
32571	    0.107000	    0.609366	   26.032050	    0.645182
32572	    0.107500	    0.591810	   35.910737	    0.637675
32573	    0.108000	    0.567142	   50.004656	    0.626164
32574	    0.108500	    0.562950	   49.343403	    0.626488
32575	    0.109000	    0.533175	   65.361217	    0.609740
32576	    0.109500	    0.517703	   71.192889	    0.601527
32577	    0.110000	    0.496629	   76.979704	    0.590644
32578	    0.110500	    0.469390	   90.740409	    0.570160
32579	    0.111000	    0.447277	   93.681274	    0.554145
32580	    0.111500	    0.414042	  103.334727	    0.521958
32581	    0.112000	    0.427926	   87.593861	    0.546609
32582	    0.112500	    0.397342	   94.682528	    0.518439
32583	    0.113000	    0.377644	   96.321001	    0.497307
32584	    0.113500	    0.355867	   98.482102	    0.472749
32585	    0.114000	    0.333279	   96.656787	    0.443196
32586	    0.114500	    0.312933	   90.905409	    0.423119
32587	    0.115000	    0.295258	   88.170640	    0.394127
32588	    0.115500	    0.284244	   86.052171	    0.378899
32589	    0.116000	    0.270921	   82.927229	    0.354612
32590	    0.116500	    0.256980	   78.895447	    0.332483
32591	    0.117000	    0.255165	   73.731840	    0.347495
32592	    0.117500	    0.228033	   65.248661	    0.295683
32593	    0.118000	    0.224828	   66.182746	    0.280970
32594	    0.118500	    0.218919	   63.066489	    0.278759
32595	    0.119000	    0.207385	   59.716651	    0.253328
32596	    0.119500	    0.198177	   57.164533	    0.218990
32597	    0.120000	    0.188692	   52.131193	    0.205611
32598	    0.125000	    0.140453	   31.362284	    0.127375
32599	    0.130000	    0.109744	   20.469258	    0.063913
32600	    0.135000	    0.094271	   15.222461	    0.064466
32601	    0.140000	    0.082330	   11.539261	    0.062220
32602	    0.145000	    0.072398	    9.088019	    0.017329
32603	    0.150000	    0.067158	    7.960437	    0.028547
32604	    0.155000	    0.060339	    6.582322	   -0.009021
32605	    0.160000	    0.056188	    5.564955	    0.013835
32606	    0.165000	    0.053346	    4.964122	    0.023709
32607	    0.170000	    0.050027	    4.393819	    0.028293
32608	    0.175000	    0.046811	    3.826302	    0.024551
32609	    0.180000	    0.044314	    3.543420	    0.000231
32610	    0.185000	    0.042719	    3.337837	   -0.006070
32611	    0.190000	    0.041187	    2.996638	    0.018050
32612	    0.195000	    0.039285	    2.755940	   -0.003758
32613	    0.200000	    0.037400	    2.488793	    0.018943
32614	    0.205000	    0.036501	    2.414688	   -0.009688
32615	    0.210000	    0.035194	    2.236122	   -0.001084
32616	    0.215000	    0.034028	    2.041719	    0.026195
32617	    0.220000	    0.033211	    1.981929	   -0.001318
32618	    0.225000	    0.031974	    1.819359	   -0.003386
32619	    0.230000	    0.030711	    1.700777	    0.005983
32620	    0.235000	    0.030237	    1.674953	   -0.033929
32621	    0.240000	    0.029661	    1.560312	   -0.007664
32622	    0.245000	    0.029086	    1.466824	    0.032740
