#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.989996	    0.019487	    0.666666
  2	    0.010000	    0.979986	    0.039622	    0.666666
  3	    0.015000	    0.969895	    0.060453	    0.666665
  4	    0.020000	    0.959773	    0.078043	    0.666665
  5	    0.025000	    0.949540	    0.104650	    0.666664
  6	    0.030000	    0.939215	    0.127044	    0.666664
  7	    0.035000	    0.928714	    0.149428	    0.666663
  8	    0.040000	    0.917921	    0.175722	    0.666662
  9	    0.045000	    0.907017	    0.196025	    0.666662
 10	    0.050000	    0.895693	    0.229725	    0.666661
 11	    0.055000	    0.884034	    0.269666	    0.666660
 12	    0.060000	    0.871778	    0.314718	    0.666658
 13	    0.065000	    0.858869	    0.365703	    0.666657
 14	    0.070000	    0.845228	    0.455995	    0.666654
 15	    0.075000	    0.830360	    0.542979	    0.666651
 16	    0.080000	    0.813991	    0.726119	    0.666644
 17	    0.085000	    0.795333	    0.968105	    0.666636
 18	    0.090000	    0.773554	    1.340147	    0.666621
 19	    0.095000	    0.746353	    2.236624	    0.666585
 20	    0.100000	    0.708376	    5.063146	    0.666462
 21	    0.100500	    0.704639	    5.374868	    0.666447
 22	    0.101000	    0.699282	    6.442725	    0.666400
 23	    0.101500	    0.693373	    6.683643	    0.666385
 24	    0.102000	    0.688147	    7.980244	    0.666329
 25	    0.102500	    0.683264	    7.303144	    0.666350
 26	    0.103000	    0.676815	    9.469997	    0.666249
 27	    0.103500	    0.669370	   10.923804	    0.666175
 28	    0.104000	    0.659430	   16.408556	    0.665914
 29	    0.104500	    0.652705	   17.644550	    0.665839
 30	    0.105000	    0.646074	   18.264331	    0.665793
 31	    0.105500	    0.632190	   31.163848	    0.665121
 32	    0.106000	    0.620697	   47.964043	    0.664282
 33	    0.106500	    0.607330	   68.786993	    0.663167
 34	    0.107000	    0.590830	   70.978335	    0.662816
 35	    0.107500	    0.575233	  108.835106	    0.660580
 36	    0.108000	    0.552228	  152.066462	    0.657738
 37	    0.108500	    0.540070	  150.031771	    0.657371
 38	    0.109000	    0.475713	  407.778252	    0.636693
 39	    0.109500	    0.387023	 1320.995709	    0.567057
 40	    0.110000	    0.271113	 1220.771655	    0.458828
 41	    0.110500	    0.267414	 1009.806653	    0.477319
 42	    0.111000	    0.157554	  820.256622	    0.142832
 43	    0.111500	    0.153866	  636.654954	    0.305462
 44	    0.112000	    0.117657	  542.530821	    0.027472
 45	    0.112500	    0.108912	  422.134965	    0.007052
 46	    0.113000	    0.099390	  378.068288	   -0.034227
 47	    0.113500	    0.095255	  289.865943	    0.169875
 48	    0.114000	    0.082989	  293.136740	   -0.154636
 49	    0.114500	    0.059928	  127.337566	    0.048849
 50	    0.115000	    0.065579	  156.068692	    0.030749
 51	    0.115500	    0.065420	  147.742856	    0.046093
 52	    0.116000	    0.059282	  131.012987	   -0.004631
 53	    0.116500	    0.059927	  111.667394	    0.173179
 54	    0.117000	    0.054543	  100.791285	    0.095344
 55	    0.117500	    0.050776	   87.897143	    0.094063
 56	    0.118000	    0.048066	   80.581177	    0.001253
 57	    0.118500	    0.046963	   80.167663	    0.019636
 58	    0.119000	    0.043315	   68.011522	    0.052761
 59	    0.119500	    0.038546	   55.244832	    0.030439
 60	    0.120000	    0.038797	   56.648354	    0.015267
 61	    0.125000	    0.030505	   36.000101	   -0.020911
 62	    0.130000	    0.023495	   20.742394	   -0.009491
 63	    0.135000	    0.020811	   15.950148	    0.022957
 64	    0.140000	    0.017622	   11.508275	   -0.001142
 65	    0.145000	    0.015431	    9.099171	   -0.025808
 66	    0.150000	    0.014402	    7.780339	    0.010537
 67	    0.155000	    0.013667	    6.985225	    0.002869
 68	    0.160000	    0.012446	    5.606701	    0.025449
 69	    0.165000	    0.011351	    4.821378	    0.020747
 70	    0.170000	    0.010727	    4.327172	   -0.000754
 71	    0.175000	    0.010274	    4.011534	   -0.004486
 72	    0.180000	    0.009620	    3.484716	   -0.006907
 73	    0.185000	    0.009344	    3.300088	    0.003120
 74	    0.190000	    0.008676	    2.984055	   -0.059099
 75	    0.195000	    0.008602	    2.685854	    0.036105
 76	    0.200000	    0.008197	    2.422596	    0.038881
 77	    0.205000	    0.007816	    2.357587	   -0.036199
 78	    0.210000	    0.007635	    2.243121	   -0.036147
 79	    0.215000	    0.007553	    2.085444	    0.022635
 80	    0.220000	    0.007270	    1.939099	    0.041032
 81	    0.225000	    0.006945	    1.818185	   -0.016256
 82	    0.230000	    0.006706	    1.729613	   -0.028494
 83	    0.235000	    0.006577	    1.599912	   -0.013130
 84	    0.240000	    0.006348	    1.570931	   -0.065934
 85	    0.245000	    0.006464	    1.483187	    0.044800
