#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
32591	    0.000000	    0.969719	    0.499031	    0.664112
32592	    0.005000	    0.952549	    0.845271	    0.662391
32593	    0.010000	    0.951909	    0.976307	    0.661741
32594	    0.015000	    0.940355	    1.518878	    0.659283
32595	    0.020000	    0.935039	    1.750344	    0.658316
32596	    0.025000	    0.912376	    2.888547	    0.653420
32597	    0.030000	    0.898501	    3.730705	    0.649500
32598	    0.035000	    0.879514	    5.397469	    0.643696
32599	    0.040000	    0.840751	    8.904771	    0.629467
32600	    0.045000	    0.814099	   11.245603	    0.618207
32601	    0.050000	    0.779730	   14.605462	    0.602362
32602	    0.055000	    0.726031	   18.190877	    0.575945
32603	    0.055500	    0.747680	   17.016112	    0.586642
32604	    0.056000	    0.738193	   17.411663	    0.582813
32605	    0.056500	    0.732005	   17.565763	    0.580770
32606	    0.057000	    0.740131	   17.136888	    0.585001
32607	    0.057500	    0.732499	   17.496484	    0.581444
32608	    0.058000	    0.743876	   16.345255	    0.589232
32609	    0.058500	    0.715054	   18.830936	    0.571236
32610	    0.059000	    0.710433	   18.918683	    0.569257
32611	    0.059500	    0.694544	   19.584721	    0.559950
32612	    0.060000	    0.700187	   18.968794	    0.564393
32613	    0.060500	    0.702099	   19.354993	    0.564784
32614	    0.061000	    0.705606	   19.324975	    0.566299
32615	    0.061500	    0.697018	   19.861618	    0.561225
32616	    0.062000	    0.696598	   19.686948	    0.561621
32617	    0.062500	    0.702765	   19.620735	    0.565740
32618	    0.063000	    0.686190	   20.863139	    0.553977
32619	    0.063500	    0.667680	   21.346579	    0.543458
32620	    0.064000	    0.678067	   20.209253	    0.552586
32621	    0.064500	    0.675923	   20.131742	    0.551418
32622	    0.065000	    0.677580	   20.913195	    0.550557
32623	    0.065500	    0.674117	   20.581850	    0.550455
32624	    0.066000	    0.667745	   21.405248	    0.544297
32625	    0.066500	    0.659311	   21.731057	    0.539185
32626	    0.067000	    0.641120	   22.143440	    0.526367
32627	    0.067500	    0.640170	   22.317982	    0.525793
32628	    0.068000	    0.654410	   21.826080	    0.536461
32629	    0.068500	    0.632714	   22.749976	    0.519730
32630	    0.069000	    0.636170	   22.529252	    0.524306
32631	    0.069500	    0.635289	   23.002753	    0.520453
32632	    0.070000	    0.634729	   22.252582	    0.523486
32633	    0.070500	    0.633481	   22.889551	    0.520827
32634	    0.071000	    0.640071	   22.615732	    0.525748
32635	    0.071500	    0.633042	   22.567933	    0.521795
32636	    0.072000	    0.626734	   22.862223	    0.518104
32637	    0.072500	    0.612014	   23.465308	    0.505179
32638	    0.073000	    0.606678	   23.230800	    0.503679
32639	    0.073500	    0.600029	   23.894195	    0.494649
32640	    0.074000	    0.604527	   23.521628	    0.502735
32641	    0.074500	    0.607347	   23.892776	    0.501354
32642	    0.075000	    0.596616	   23.439242	    0.495990
32643	    0.075500	    0.594970	   23.751698	    0.492321
32644	    0.076000	    0.577579	   24.152094	    0.477567
32645	    0.076500	    0.574540	   24.009473	    0.477082
32646	    0.077000	    0.583626	   24.195414	    0.482629
