#count	p	M	suscet	U4 
#---------------------------------------------------------------------------
  0	    0.000000	    1.000000	    0.000000	    0.666667
  1	    0.005000	    0.990018	    0.020880	    0.666666
  2	    0.010000	    0.979955	    0.039363	    0.666665
  3	    0.015000	    0.969917	    0.056881	    0.666664
  4	    0.020000	    0.959785	    0.078114	    0.666664
  5	    0.025000	    0.949565	    0.102639	    0.666663
  6	    0.030000	    0.939210	    0.127085	    0.666661
  7	    0.035000	    0.928699	    0.146320	    0.666661
  8	    0.040000	    0.918036	    0.170451	    0.666659
  9	    0.045000	    0.906954	    0.197788	    0.666658
 10	    0.050000	    0.895717	    0.230945	    0.666656
 11	    0.055000	    0.883995	    0.254076	    0.666655
 12	    0.060000	    0.871798	    0.316136	    0.666652
 13	    0.065000	    0.858854	    0.375952	    0.666648
 14	    0.070000	    0.845118	    0.432783	    0.666645
 15	    0.075000	    0.830407	    0.532364	    0.666639
 16	    0.080000	    0.813885	    0.703734	    0.666628
 17	    0.085000	    0.795369	    0.888898	    0.666616
 18	    0.090000	    0.773250	    1.334626	    0.666586
 19	    0.095000	    0.745880	    2.356318	    0.666514
 20	    0.100000	    0.708711	    5.237095	    0.666294
 21	    0.100500	    0.703879	    5.830169	    0.666246
 22	    0.101000	    0.699755	    6.229131	    0.666211
 23	    0.101500	    0.693630	    7.177558	    0.666134
 24	    0.102000	    0.687522	    9.146155	    0.665984
 25	    0.102500	    0.683153	    7.960697	    0.666058
 26	    0.103000	    0.675775	   12.432010	    0.665720
 27	    0.103500	    0.670045	   11.283865	    0.665782
 28	    0.104000	    0.662501	   12.956260	    0.665623
 29	    0.104500	    0.653937	   15.437236	    0.665391
 30	    0.105000	    0.637142	   45.892457	    0.662992
 31	    0.105500	    0.635933	   22.164566	    0.664744
 32	    0.106000	    0.627886	   23.806427	    0.664554
 33	    0.106500	    0.607320	   46.948074	    0.662392
 34	    0.107000	    0.601197	   38.938507	    0.662936
 35	    0.107500	    0.588833	   44.776234	    0.662256
 36	    0.108000	    0.561619	  102.969291	    0.656598
 37	    0.108500	    0.440889	  949.840816	    0.572855
 38	    0.109000	    0.494668	  320.622561	    0.632687
 39	    0.109500	    0.425093	  741.639942	    0.580444
 40	    0.110000	    0.349702	  612.503123	    0.553984
 41	    0.110500	    0.313000	  966.097578	    0.477611
 42	    0.111000	    0.259587	  804.720743	    0.411907
 43	    0.111500	    0.212827	  679.205119	    0.315035
 44	    0.112000	    0.218342	  525.387827	    0.404743
 45	    0.112500	    0.153224	  403.818042	    0.212994
 46	    0.113000	    0.137048	  273.527465	    0.273579
 47	    0.113500	    0.118791	  271.185419	    0.174033
 48	    0.114000	    0.112434	  276.610532	    0.030370
 49	    0.114500	    0.102513	  199.934092	    0.130794
 50	    0.115000	    0.096557	  168.612088	    0.171053
 51	    0.115500	    0.086011	  151.577547	    0.037745
 52	    0.116000	    0.075730	  124.363770	   -0.071463
 53	    0.116500	    0.080921	  126.632993	    0.085450
 54	    0.117000	    0.068180	   95.153354	    0.033020
 55	    0.117500	    0.063158	   78.300468	    0.119127
 56	    0.118000	    0.063994	   77.966209	    0.081249
 57	    0.118500	    0.057484	   69.041323	    0.012777
 58	    0.119000	    0.062712	   75.700617	    0.029444
 59	    0.119500	    0.056674	   69.691967	   -0.006358
 60	    0.120000	    0.054881	   67.625995	   -0.070596
 61	    0.125000	    0.039848	   35.560502	   -0.048744
 62	    0.130000	    0.030715	   19.258586	    0.029759
 63	    0.135000	    0.027707	   15.860955	    0.010004
 64	    0.140000	    0.023758	   11.788514	    0.013693
 65	    0.145000	    0.021332	    9.397150	    0.029517
 66	    0.150000	    0.019212	    7.709636	    0.011758
 67	    0.155000	    0.017697	    6.588270	    0.034774
 68	    0.160000	    0.016329	    5.585919	   -0.003193
 69	    0.165000	    0.015423	    4.942636	    0.010349
 70	    0.170000	    0.014599	    4.473531	    0.003422
 71	    0.175000	    0.013728	    3.743409	    0.036137
 72	    0.180000	    0.013224	    3.761403	   -0.047079
 73	    0.185000	    0.012553	    3.293198	   -0.020071
 74	    0.190000	    0.011842	    3.028320	   -0.008057
 75	    0.195000	    0.011434	    2.759789	    0.017929
 76	    0.200000	    0.010726	    2.454363	   -0.012959
 77	    0.205000	    0.010593	    2.339247	    0.034995
 78	    0.210000	    0.010316	    2.238984	   -0.020078
 79	    0.215000	    0.009933	    1.976405	    0.030826
 80	    0.220000	    0.009381	    1.946693	   -0.043575
 81	    0.225000	    0.009282	    1.865509	    0.006557
 82	    0.230000	    0.009026	    1.759991	   -0.039243
 83	    0.235000	    0.008916	    1.646092	    0.019560
 84	    0.240000	    0.008680	    1.579880	   -0.010581
 85	    0.245000	    0.008306	    1.441499	    0.001075
